pattern,alg
000111222333,['']
020131202313,"[""r'"", ""l'"", 'u2', 'r', 'l', 'b', 'f', 'u2', ""b'"", ""f'""]"
131202313020,"[""b'"", ""f'"", 'u2', 'b', 'f', 'l', 'r', 'u2', ""l'"", ""r'""]"
202313020131,"[""l'"", ""r'"", 'u2', 'l', 'r', 'f', 'b', 'u2', ""f'"", ""b'""]"
313020131202,"[""f'"", ""b'"", 'u2', 'f', 'b', 'r', 'l', 'u2', ""r'"", ""l'""]"
010131222303,"['r', ""u'"", 'r', 'u', 'r', 'u', 'r', ""u'"", ""r'"", ""u'"", 'r2']"
131222303010,"['b', ""u'"", 'b', 'u', 'b', 'u', 'b', ""u'"", ""b'"", ""u'"", 'b2']"
222303010131,"['l', ""u'"", 'l', 'u', 'l', 'u', 'l', ""u'"", ""l'"", ""u'"", 'l2']"
303010131222,"['f', ""u'"", 'f', 'u', 'f', 'u', 'f', ""u'"", ""f'"", ""u'"", 'f2']"
030101222313,"[""l'"", 'u', ""l'"", ""u'"", ""l'"", ""u'"", ""l'"", 'u', 'l', 'u', 'l2']"
101222313030,"[""f'"", 'u', ""f'"", ""u'"", ""f'"", ""u'"", ""f'"", 'u', 'f', 'u', 'f2']"
222313030101,"[""r'"", 'u', ""r'"", ""u'"", ""r'"", ""u'"", ""r'"", 'u', 'r', 'u', 'r2']"
313030101222,"[""b'"", 'u', ""b'"", ""u'"", ""b'"", ""u'"", ""b'"", 'u', 'b', 'u', 'b2']"
010101232323,"['r', 'u', ""r'"", 'u', ""r'"", ""u'"", ""r'"", 'u', 'r', ""u'"", ""r'"", ""u'"", 'r2', 'u', 'r']"
101232323010,"['b', 'u', ""b'"", 'u', ""b'"", ""u'"", ""b'"", 'u', 'b', ""u'"", ""b'"", ""u'"", 'b2', 'u', 'b']"
232323010101,"['l', 'u', ""l'"", 'u', ""l'"", ""u'"", ""l'"", 'u', 'l', ""u'"", ""l'"", ""u'"", 'l2', 'u', 'l']"
323010101232,"['f', 'u', ""f'"", 'u', ""f'"", ""u'"", ""f'"", 'u', 'f', ""u'"", ""f'"", ""u'"", 'f2', 'u', 'f']"
002310121233,"[""r'"", 'f', ""r'"", 'b2', 'r', ""f'"", ""r'"", 'b2', 'r2']"
310121233002,"[""b'"", 'r', ""b'"", 'l2', 'b', ""r'"", ""b'"", 'l2', 'b2']"
121233002310,"[""l'"", 'b', ""l'"", 'f2', 'l', ""b'"", ""l'"", 'f2', 'l2']"
