pattern,alg

000000000000,['']
001001001000,"['r', 'u', ""r'"", 'u', 'r', 'u2', ""r'""]"
100100000100,"['r', 'u2', ""r'"", ""u'"", 'r', ""u'"", ""r'""]"
101000101000,"['f', 'r', 'u', ""r'"", ""u'"", 'r', 'u', ""r'"", ""u'"", 'r', 'u', ""r'"", ""u'"", ""f'""]"
001000100101,"['r', 'u2', ""r2"", ""u'"", 'r2', ""u'"", ""r2"", 'u2', 'r']"
000000101000,"['r2', ""d'"", 'r', 'u2', ""r'"", 'd', 'r', 'u2', 'r']"
100000001000,"['r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r', ""f'""]"
100001000000,"['r', 'u2', 'r', 'd', ""r'"", 'u2' , 'r' , ""d'"" , 'r2']"
010111010111,"['r', 'u2', 'r2', 'f', 'r', ""f'"", 'u2', ""r'"", 'f', 'r', ""f'""]"
011010110111,"['f', 'r', 'u', ""r'"", ""u'"", ""f'"", 'b', 'u', 'l' , ""u'"" , ""l'"" , ""b'""]"
011011011010,"[""l'"", 'r2', 'b', ""r'"", 'b', 'l', 'u2', ""l'"", 'b', ""r'"", 'l']"
110010110110,"['r', 'l2', ""b'"", 'l', ""b'"", ""r'"", 'u2', 'r', ""b'"", 'l' , ""r'""]"
010010110011,"['r', 'u', ""r'"", 'u', ""r'"", 'f', 'r', ""f'"", 'u2', ""r'"", 'f', 'r', ""f'""]"
010010010111,"['r', 'u2', 'r2', 'f', 'r', ""f'"", 'u2', 'l', ""r'"", 'f', 'r', ""f'"", ""l'""]"
010110010011,"['r', ""l'"", 'b', 'r', 'b', ""r'"", ""b'"", 'l', 'r2', 'f', 'r', ""f'""]"
110000001010,"[""r'"", ""u'"", 'f', 'u', 'r', ""u'"", ""r'"", ""f'"", 'r']"
100000011010,"['r', 'u', ""b'"", ""u'"", ""r'"", 'u', 'r', 'b', ""r'""]"
000111010000,"[""b'"", ""u'"", ""r'"", 'u', 'r', 'b']"
000000010111,"['b', 'u', 'l', ""u'"", ""l'"", ""b'""]"
100011010000,"[""r'"", ""u'"", 'r', ""u'"", ""r'"", 'u', 'r', 'u', 'r', ""b'"", ""r'"", 'b']"
010110001000,"['r', 'u', ""r'"", 'u', 'r', ""u'"", ""r'"", ""u'"", ""r'"", 'f', 'r', ""f'""]"
011010100101,"['f', 'r', 'u', ""r'"", ""u'"", 'r', 'u', ""r'"", ""u'"", ""f'""]"
110101001010,"[""f'"", ""l'"", ""u'"", 'l', 'u', ""l'"", ""u'"", 'l', 'u', 'f']"
010111000101,"[""r'"", ""f'"", 'l', ""f'"", ""l'"", 'f', 'l', ""f'"", ""l'"", 'f2', 'r']"
010101000111,"['l', 'f', ""r'"", 'f', 'r', ""f'"", ""r'"", 'f', 'r', 'f2', ""l'""]"
100111011000,"['r', ""b'"", 'r2', 'f', 'r2', 'b', 'r2', ""f'"", 'r']"
110111001000,"[""r'"", 'f', 'r2', ""b'"", 'r2', ""f'"", 'r2', 'b', ""r'""]"
010001010100,"['r', 'u', ""r'"", ""u'"", ""b'"", ""r'"", 'f', 'r', ""f'"", 'b', ""z'""]"
000111000010,"[""r'"", ""u'"", ""r'"", 'f', 'r', ""f'"", 'u', 'r']"
110000011000,"['r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r', ""f'""]"
010000010101,"['f', 'r', 'u', ""r'"", ""u'"", ""f'""]"
000111000111,"['r', 'u2', 'r2', ""u'"", 'r', ""u'"", ""r'"", 'u2', 'f', 'r', ""f'""]"
010101010101,"['l', 'f', ""l'"", 'u', 'r', ""u'"", ""r'"", 'u', 'r', ""u'"", ""r'"", 'l', ""f'"", ""l'""]"
110101011000,"['f', 'u', 'r', ""u'"", ""r'"", 'u', 'r', ""u'"", ""r'"", ""f'""]"
100111001010,"[""r'"", ""u'"", 'r', ""u'"", ""r'"", 'u', ""f'"", 'u', 'f', 'r']"
000001011011,"[""l'"", 'b2', 'r', 'b', ""r'"", 'b', 'l']"
110100000110,"['l', 'f2', ""r'"", ""f'"", 'r', ""f'"", ""l'""]"
011000010100,"['r', 'u', ""r'"", ""f'"", ""u'"", 'f', 'u', 'r', 'u2', ""r'""]"
010000110001,"[""r'"", 'f', 'r', 'u', ""r'"", ""u'"", ""f'"", 'u', 'r']"
011011001000,"['l', 'f', ""r'"", 'f', 'r', 'f2', ""l'""]"
110000100110,"[""r'"", ""f'"", 'l', ""f'"", ""l'"", 'f2', 'r']"
001011010001,"[""f'"", ""l'"", ""u'"", 'l', 'u', 'f', 'r', 'b', 'u', ""b'"", ""u'"", ""r'""]"
100100010110,"['f', 'r', 'u', ""r'"", ""u'"", ""f'"", 'u', 'f', 'r', 'u', ""r'"", ""u'"", ""f'""]"
110010100100,"['r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r2', 'u', ""r'"", ""u'"", ""f'""]"
001010011001,"['r', 'u', ""r'"", 'u', ""r'"", 'f', 'r', ""f'"", 'r', 'u2', ""r'""]"
100001010010,"['r', 'u2', ""r2'"", 'f', 'r', ""f'"", 'r', 'u2', ""r'""]"
110011000000,"['f', 'r', ""u'"", ""r'"", ""u'"", 'r', 'u', ""r'"", ""f'""]"
011001011000,"['f', 'u', 'r', ""u'"", 'r2', ""f'"", 'r', 'u', 'r', ""u'"", ""r'""]"
110000110100,"[""r'"", 'f', 'r', 'u', ""r'"", ""f'"", 'r', 'f', ""u'"", ""f'""]"
011001010001,"[""r'"", ""f'"", 'r', ""l'"", ""u'"", 'l', 'u', ""r'"", 'f', 'r']"
110100010100,"['l', 'f', ""l'"", 'r', 'u', ""r'"", ""u'"", 'l', ""f'"", ""l'""]"
000110010001,"['r', ""l'"", 'b', 'r', 'b', ""r'"", ""b'"", ""r'"", 'u', 'r', ""u'"", ""r'"", 'l']"
000100010011,"[""l'"", 'b2', 'r', 'b', ""r'"", 'b', 'l', 'r', 'u2', ""r'"", ""u'"", 'r', ""u'"", ""r'""]"
101000010010,"['r', 'l2', ""d'"", ""b'"", 'd', 'b', 'l', ""b'"", ""r'"", 'l']"
101010010000,"[""l'"", 'r2', 'd', 'b', ""d'"", ""b'"", ""r'"", 'b', ""r'"", 'l']"
010010000000,"['l', 'f', ""r'"", ""f'"", ""l'"", 'r', 'u', 'r', ""u'"", ""r'""]"
010000010000,"['r', 'u', ""r'"", ""u'"", ""r'"", 'l', 'f', 'r', ""f'"", ""l'""]"
010010010010,"['r', ""l'"", 'b', 'r', 'b', ""r'"", ""b'"", 'r2', 'l2', 'f', 'r', ""f'"", ""l'""]"

