pattern,alg
000000000000,['']
001001001000,"['r', 'u', ""r'"", 'u', 'r', 'u2', ""r'""]"
001001000001,"['f', 'u', ""f'"", 'u', 'f', 'u2', ""f'""]"
001000001001,"['l', 'u', ""l'"", 'u', 'l', 'u2', ""l'""]"
000001001001,"['b', 'u', ""b'"", 'u', 'b', 'u2', ""b'""]"
100100000100,"['r', 'u2', ""r'"", ""u'"", 'r', ""u'"", ""r'""]"
100000100100,"['f', 'u2', ""f'"", ""u'"", 'f', ""u'"", ""f'""]"
000100100100,"['l', 'u2', ""l'"", ""u'"", 'l', ""u'"", ""l'""]"
100100100000,"['b', 'u2', ""b'"", ""u'"", 'b', ""u'"", ""b'""]"
101000101000,"['f', 'r', 'u', ""r'"", ""u'"", 'r', 'u', ""r'"", ""u'"", 'r', 'u', ""r'"", ""u'"", ""f'""]"
000101000101,"['l', 'f', 'u', ""f'"", ""u'"", 'f', 'u', ""f'"", ""u'"", 'f', 'u', ""f'"", ""u'"", ""l'""]"
101000101000,"['b', 'l', 'u', ""l'"", ""u'"", 'l', 'u', ""l'"", ""u'"", 'l', 'u', ""l'"", ""u'"", ""b'""]"
000101000101,"['r', 'b', 'u', ""b'"", ""u'"", 'b', 'u', ""b'"", ""u'"", 'b', 'u', ""b'"", ""u'"", ""r'""]"
001000100101,"['r', 'u2', 'r2', ""u'"", 'r2', ""u'"", 'r2', 'u2', 'r']"
000100101001,"['f', 'u2', 'f2', ""u'"", 'f2', ""u'"", 'f2', 'u2', 'f']"
100101001000,"['l', 'u2', 'l2', ""u'"", 'l2', ""u'"", 'l2', 'u2', 'l']"
101001000100,"['b', 'u2', 'b2', ""u'"", 'b2', ""u'"", 'b2', 'u2', 'b']"
000000101000,"['r2', ""d'"", 'r', 'u2', ""r'"", 'd', 'r', 'u2', 'r']"
000101000000,"['f2', ""d'"", 'f', 'u2', ""f'"", 'd', 'f', 'u2', 'f']"
101000000000,"['l2', ""d'"", 'l', 'u2', ""l'"", 'd', 'l', 'u2', 'l']"
000000000101,"['b2', ""d'"", 'b', 'u2', ""b'"", 'd', 'b', 'u2', 'b']"
100000001000,"['r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r', ""f'""]"
000001000100,"['f', 'u', ""f'"", ""u'"", ""f'"", 'l', 'f', ""l'""]"
001000100000,"['l', 'u', ""l'"", ""u'"", ""l'"", 'b', 'l', ""b'""]"
000100000001,"['b', 'u', ""b'"", ""u'"", ""b'"", 'r', 'b', ""r'""]"
100001000000,"['r', 'u2', 'r', 'd', ""r'"", 'u2', 'r', ""d'"", 'r2']"
001000000100,"['f', 'u2', 'f', 'd', ""f'"", 'u2', 'f', ""d'"", 'f2']"
000000100001,"['l', 'u2', 'l', 'd', ""l'"", 'u2', 'l', ""d'"", 'l2']"
